team,picks,avg_pick,hits,total_min,expected_min,value_added
Oklahoma City Thunder,69,31.1,25,657243.0,528341.9,128901.1
Los Angeles Lakers,48,35.8,15,414950.0,317200.4,97749.6
San Antonio Spurs,50,40.8,16,386327.0,290129.1,96197.9
Cleveland Cavaliers,50,26.2,22,555745.0,484986.9,70758.1
Phoenix Suns,60,34.1,18,478301.0,410018.2,68282.8
Indiana Pacers,45,32.5,17,392226.0,332084.3,60141.7
Golden State Warriors,56,27.2,22,586418.0,531175.9,55242.1
Detroit Pistons,54,31.3,20,487301.0,444628.5,42672.5
Houston Rockets,53,30.0,20,453069.0,411466.0,41603.0
Milwaukee Bucks,59,28.8,24,552292.0,518772.3,33519.7
Boston Celtics,53,27.6,20,506694.0,475777.6,30916.4
Utah Jazz,57,32.6,22,446131.0,420158.9,25972.1
New Orleans Pelicans,20,25.7,8,219276.0,198496.9,20779.1
Denver Nuggets,51,28.9,20,482860.0,467492.8,15367.2
Philadelphia 76ers,63,30.1,19,550939.0,536005.9,14933.1
Toronto Raptors,34,24.2,15,387238.0,386591.9,646.1
Washington Wizards,53,27.7,17,479560.0,491612.2,-12052.2
Memphis Grizzlies,41,26.6,16,405688.0,433598.7,-27910.7
Sacramento Kings,57,27.1,25,518950.0,550472.5,-31522.5
Brooklyn Nets,45,25.9,15,397044.0,429966.9,-32922.9
Chicago Bulls,64,28.1,20,543554.0,584505.2,-40951.2
Miami Heat,48,32.0,15,350331.0,391562.0,-41231.0
New York Knicks,40,27.8,13,305368.0,347547.6,-42179.6
Charlotte Hornets,46,22.1,20,507787.0,551322.8,-43535.8
Portland Trail Blazers,59,31.6,14,379024.0,434235.5,-55211.5
Atlanta Hawks,63,30.0,13,445398.0,523327.1,-77929.1
Minnesota Timberwolves,68,28.9,25,569638.0,657040.7,-87402.7
LA Clippers,50,23.3,21,455674.0,546796.2,-91122.2
Orlando Magic,52,25.3,16,428185.0,530541.5,-102356.5
Dallas Mavericks,54,34.0,9,279787.0,397141.8,-117354.8
